,Safety and Security,Personal Freedom,Governance,Social Capital,Investment Environment,Enterprise Conditions,Infrastructure and Market Access,Economic Quality,Living Conditions,Health,Education,Natural Environment,unusualness,hhi,width_90
Afghanistan,0.23174144130060964,0.04806940753478192,0.07849773331249021,0.16354541191183364,0.04574019071439736,0.11166953259340313,0.03249960919180866,0.04579490386118492,0.06268563389088634,0.04517742691886821,0.03845552602782554,0.09612318274191026,0.6978760877930114,0.12332838916475641,6.0
Albania,0.09645446764818812,0.05521612324527002,0.013188405071726476,0.375758360104592,0.016804223149672844,0.014760002488243407,0.028019908807309146,0.20926127056286498,0.01633803501702087,0.015706679003015207,0.04472045514834006,0.11377206975375684,0.6328758413202961,0.21425383216688143,23.0
Algeria,0.1280457882219393,0.04293524804046401,0.017381040280676375,0.20057662218940633,0.04081309756115937,0.05364947096923259,0.04386045542102712,0.03378111964157004,0.163197138989555,0.08681077198560454,0.08432948834826373,0.10461975835110164,0.8972105147387949,0.11860729234725308,32.0
Angola,0.20697084008663352,0.051610034567334595,0.03551686054016839,0.09949368177971572,0.1337253833244883,0.10745134038067099,0.029607424088125188,0.11093389176551585,0.03803554267846642,0.08471148467419212,0.04569772945681952,0.05624578665786945,1.1754957357183136,0.11314677014600538,13.0
Argentina,0.016039192559915143,0.21616380522914763,0.011694419727977624,0.08604108883966433,0.04884858310393904,0.19623453021232076,0.03512035124935661,0.25407981462302576,0.022348594564970497,0.011489371456196976,0.019131170463046503,0.08280907797043885,0.46961082439685725,0.16906285141335825,34.0
Armenia,0.03813881391411334,0.08219094836572648,0.03319967203275184,0.44309889783184475,0.02118230884081154,0.1956519096986871,0.022467813305485407,0.06209687748628249,0.016303936261416446,0.015046479166880915,0.04118008374944723,0.029442259346552365,0.812904347339781,0.25179281821373484,21.0
Australia,0.02306780686182428,0.051815280516530046,0.03285355311103134,0.39632764055331265,0.047482997880574564,0.1498251842818295,0.1294128060504433,0.04993189317308969,0.014658949532103642,0.02064349887144283,0.05115142335892052,0.03282896580889765,0.6599889771484159,0.2096502388402709,11.0
Austria,0.07319329322475854,0.07926056491907876,0.027816219208414057,0.07392894081314551,0.039011173102976096,0.10352965169635964,0.04079566477777616,0.09238568327822046,0.023577141025827784,0.032419479365449325,0.09480385158856176,0.31927833699943187,0.40085895805759414,0.15285171778629275,7.0
Azerbaijan,0.011191469680875395,0.28066491008851385,0.038937442051435456,0.07605792206340091,0.10250896864079624,0.08824372921203022,0.03735899031365012,0.06433134707859368,0.053694949317468474,0.014096430767756313,0.036858372800677275,0.19605546798480217,0.6325759179294614,0.15290637653681965,36.0
Bahrain,0.010119181766732377,0.537603667684956,0.014438042312588424,0.014704446291180428,0.09765922191166142,0.015411930992152933,0.08685098866817542,0.021263163022776664,0.03953070766683879,0.019372879767758932,0.01826864185978944,0.12477712805538922,0.9599102642655187,0.3251559070104552,44.0
Bangladesh,0.16769752175380503,0.0452541056125516,0.022625554954195687,0.04158936085653173,0.0362380346583,0.09816423249060847,0.08417928690258171,0.06207798017642701,0.039026036663424656,0.09413700753120026,0.024376044751825882,0.28463483364854797,0.8429341839990837,0.14629721102164225,22.0
Belarus,0.02326633988501652,0.24186015157789317,0.12037567273579936,0.10154388540799071,0.037505461726705165,0.04443197258420353,0.011930583497175806,0.07630942028320131,0.06851104875678671,0.01827301713285719,0.14590732745926632,0.1100851189531043,0.9884948880031436,0.1316207936149893,52.0
Belgium,0.05557503096590246,0.24118348173596021,0.05253686695178668,0.08784189082863977,0.04438056509850664,0.12369222619520595,0.036333325543169204,0.12594358363130712,0.015736131560291976,0.03682410588391098,0.023082256343141153,0.156870535262178,0.5482828388722901,0.1329304702870774,7.0
Belize,0.02564912021712099,0.3388166224740664,0.01650380699851808,0.05483610885574286,0.10504249870828909,0.043466213952748925,0.017881821227210527,0.10922820983062972,0.01773022262850394,0.012676368219937202,0.05790498685577693,0.20026402003145527,0.6911423073587618,0.18784147148363323,31.0
Benin,0.10728507366115402,0.17694782611131288,0.11415961675099177,0.2524907730989969,0.02057974722072577,0.07193668287190269,0.038654483018113944,0.019900042294825747,0.06084712894693353,0.06711572629925877,0.05066555996762064,0.019417339758163225,0.6822229324290348,0.13824414773975457,34.0
Bolivia,0.01666284198255601,0.13624707497506325,0.05687810779428655,0.04813837077613237,0.04115207497220189,0.2545356843027525,0.0308603364615625,0.10676362479333831,0.02214291804894184,0.019310171961994277,0.029844553773818675,0.23746424015735187,0.5194111878127939,0.16136923173734757,26.0
Bosnia and Herzegovina,0.21220587203838007,0.10576346318403075,0.1810192601736642,0.015286377600404001,0.015429461192082708,0.09523699973347174,0.017800721029079637,0.02289393578071738,0.12070139015528779,0.01603939007112096,0.022397912662897864,0.1752252163788629,0.7958741891560622,0.14539967108775675,30.049999999999272
Botswana,0.03784082087902407,0.11992207433855442,0.1766628601443819,0.054112789416205814,0.05677702256818911,0.024129361917157442,0.020729755202385645,0.05606724745220654,0.10536752886889772,0.16221137335667113,0.03699673702915065,0.14918242882717558,0.9638161553888992,0.11836930856488663,41.0
Brazil,0.1011287903342765,0.060768963473213006,0.013062314638260512,0.08382171011200301,0.01180134380265198,0.14684737824160998,0.04449168421124351,0.02468504929515088,0.03262220612955441,0.012492420061457118,0.04399722401480266,0.42428091568577636,0.9586939460579637,0.22857920816845287,31.0
Bulgaria,0.07469187744394397,0.22184824036034254,0.06946634516797363,0.1654492614251066,0.04651360123319733,0.06779049787513877,0.04078602187793892,0.09819616605737479,0.029062161913718614,0.05060068872373975,0.052085616704732676,0.0835095212167924,0.5358329990804974,0.11815139339081235,6.0
Burkina Faso,0.07656564428306732,0.28138539572554416,0.08211278878192062,0.009330624962000739,0.014761653687946583,0.010785809755518986,0.0703257919544228,0.0172165305005736,0.07042845225149978,0.018910923753300328,0.3011415227013811,0.047034861642823896,0.701279484743181,0.1956622603324181,34.0
Burundi,0.055697519044535966,0.0838131775791054,0.027454437755706464,0.032516909343876126,0.03939085035747248,0.21302329425702202,0.03906712768448748,0.1001508409901781,0.201551802515394,0.04578265121981457,0.034779524196547874,0.12677186505585936,0.8258172404789567,0.13042485363693632,9.0
Cabo Verde,0.15796010405406707,0.19898255394356576,0.15584566382581527,0.013138590137958244,0.07083310612937475,0.017154486930693706,0.14201808436590851,0.14141473757140888,0.023365334342653508,0.012201333713966788,0.046425627323494596,0.020660377661092952,0.7630531324747238,0.13776181583676397,43.0
Cambodia,0.02218993659850262,0.09055862876049839,0.26849817409327403,0.05873744542254349,0.01928481794981459,0.033273448919260616,0.08853062682414428,0.21547403076547086,0.026861625879466656,0.0735368071776699,0.024672065272053054,0.07838239233730161,1.2294988551444967,0.15286209113003218,29.0
