,Safety and Security,Personal Freedom,Governance,Social Capital,Investment Environment,Enterprise Conditions,Infrastructure and Market Access,Economic Quality,Living Conditions,Health,Education,Natural Environment
Afghanistan,0.008819818192405113,0.0017951116956020398,0.004104136562917304,0.0076905200805263,0.0023107658414104927,0.006758442813626621,0.0015884451346614304,0.0023339354025910947,0.003328400651131165,0.002008936776608447,0.0016333813516786928,0.004942243509259446
Albania,0.004192793270513917,0.0023871148234444334,0.0007977226052929293,0.011870354191725219,0.0010268560897406624,0.0009020200750246184,0.0016815112234717187,0.00746925711024661,0.0010161346463341886,0.001124814974424928,0.0021377830962164245,0.004844359984004808
Algeria,0.005918209798747576,0.0020380007380361095,0.0010386690048695777,0.00784680177101385,0.002681529036997171,0.0028136705360569843,0.0026212569531202275,0.002091551226669739,0.006864528745580731,0.004583274191580333,0.0040264190152988905,0.004962019036301779
Angola,0.00994923499428231,0.0030843046798036226,0.001882070512442071,0.00539156602061467,0.006924544725625495,0.005301267673536517,0.001638665214631416,0.007004817589453573,0.002429938128607062,0.004114426944776442,0.002393375602135338,0.0033507992708557525
Argentina,0.0007462566547497941,0.007216923387232621,0.0006663843295711784,0.004467889375172,0.002681163494004709,0.008139944238906932,0.002181955383927344,0.007945378229480327,0.0012047076128427862,0.0009009499096353756,0.0011356548791860138,0.004027943644206659
Armenia,0.002059253409188999,0.0035464867704571787,0.002159804800002557,0.013443147519103943,0.0011704301638410242,0.008297304346419412,0.0013170709794012702,0.0031931525561639668,0.0009169078763999897,0.0010834023994280417,0.0022364614234085985,0.0015894111548101601
Australia,0.0011363040505527264,0.00230083080683555,0.0018623954185565915,0.010185310988500812,0.0028518624478268834,0.00625938668430033,0.005659966485174597,0.002717136292313155,0.001047971479454581,0.0010145627368143735,0.00349728739248268,0.0013058652596576112
Austria,0.003361146145152774,0.0029510222270517847,0.0016706110547472577,0.0022850176682111256,0.0021208179983093906,0.004784966637721273,0.001787234943774519,0.00449814975168962,0.0014858342866487448,0.0015181498725835522,0.004955870023657792,0.01039595998121029
Azerbaijan,0.0006847795245604341,0.009560959162858512,0.0017817487807634813,0.004442005186022925,0.004391707149448712,0.004284156252410125,0.0023384088303316855,0.0027691505567579017,0.0025769403618791722,0.0010239599270321052,0.0022129609507199784,0.008574773458988771
Bahrain,0.0006078766451321242,0.010427420493815509,0.0007924855982265125,0.000932328295430677,0.005050915685413805,0.0009999071712893694,0.004102214405212773,0.0015886941683452074,0.002425831755729947,0.0012347989177546835,0.0011802610200738108,0.006609035539049506
Bangladesh,0.006424129037005913,0.002306561120921251,0.0013532401722337155,0.0020916538521825526,0.0020623444508963903,0.005435643975338286,0.004749046040466394,0.0032539756149472625,0.002432507958057998,0.0041999744272984835,0.0013383860699133377,0.009467953842124344
Belarus,0.001170473343739516,0.007950176033687834,0.005009523073716118,0.005888988146555037,0.0020082278294301474,0.0025398583313887557,0.0007944038113714778,0.0031885031515014803,0.003257165449848408,0.0010098494223916461,0.006173690750370775,0.0051343915493266765
Belgium,0.003412755889680121,0.007305892727618252,0.0029833689211930248,0.003437928772159128,0.0022865835666513873,0.005213932772963233,0.0015925705609803782,0.0056068515915016215,0.001093702387665282,0.0018639055130135265,0.0012987400932486654,0.006930589917235372
Belize,0.0013635891737267848,0.009382051922388668,0.0010177622612257617,0.0036970600379884998,0.004878868673369861,0.0025040159762334604,0.0010579403463414853,0.004696735679323466,0.000891812743160067,0.0007545622096470977,0.0033493711981990096,0.008452936849678377
Benin,0.005888494713582784,0.00727434346636989,0.005305970068843542,0.010256080857681912,0.0012260141299050027,0.003484422671453595,0.0029289177543645323,0.0009828793052553148,0.0032255472399477063,0.003216300336586868,0.003054515569579662,0.0012221012298206466
Bolivia,0.0010626134788852895,0.005653631565364192,0.003411961042645909,0.002651708878215576,0.002478163801764896,0.010008340105501917,0.0021178321798391124,0.005623990431679729,0.001169778449435898,0.0012640973990894703,0.0013815351853406314,0.010761587724921945
Bosnia and Herzegovina,0.00696378134673932,0.003795210290133501,0.0075858571874136,0.0008672607484245861,0.0010056686153704962,0.003925771933000338,0.0010793309178354568,0.0013237751949563333,0.005733196252367435,0.0009544980814268572,0.001071535472151202,0.007494549384602117
Botswana,0.0016975748354046173,0.004174574308863928,0.0068689312592932344,0.003313633219978185,0.0026894628959347466,0.0011734486573863091,0.0013067031166200081,0.0026980496390114003,0.004523444113953758,0.005663817802775792,0.0021475375298456757,0.006605874416644453
Brazil,0.004952575395853996,0.0026020550625478027,0.0008647526275385904,0.004367263754596069,0.0006373508040709765,0.006679142728352447,0.0024193141851590015,0.0012842844471563242,0.0016026495551259984,0.0008476141304346605,0.0020969554363395836,0.010140728401191373
Bulgaria,0.0032384587109477447,0.007774434216855836,0.003659171323799504,0.011172820611815598,0.002570472025062661,0.003351951566794492,0.0021803189639115726,0.004844395153453161,0.0017490603671901882,0.0028926117813743435,0.002413566021590912,0.0037283285938259705
Burkina Faso,0.004122422058832287,0.01127758635333484,0.003968155973093211,0.0005725482854900162,0.0009797941811134645,0.0006444016609438302,0.003872073714124513,0.0008987789733810765,0.0037591960023358115,0.000993081688681497,0.009659811212779118,0.002896324143046077
Burundi,0.0033293382817370445,0.0051026725851142166,0.0018236960284466908,0.0020671171537443005,0.0021188005953489165,0.010903513208849552,0.0029993203712618093,0.005142949230625346,0.00874229711776274,0.004146095897193312,0.0017425590184848606,0.009637515204082153
Cabo Verde,0.006024371770010514,0.006575005671489095,0.0056096574923188425,0.0008828736198442768,0.0032130434844057157,0.001230514758721886,0.006168603714296048,0.0054211722877628155,0.001382576270129653,0.0007019994582951553,0.00237123403844201,0.0012121621254234816
Cambodia,0.0014689269969002904,0.0042142280086660475,0.008613487534078479,0.003374902230760937,0.0011394808364819427,0.0020076131536375004,0.004364011897827071,0.007865518907241215,0.0013626716393925539,0.0031142358250164925,0.0013930906584816091,0.003986848570740699
Cameroon,0.008784427519212212,0.002399930880097937,0.003937537440742156,0.0011555310792236827,0.0015097634998046446,0.0015745518518863848,0.0012920762227379267,0.0051472031359146644,0.0011135088015358317,0.0032698539223547374,0.007302691296578734,0.0017368764609619128
Canada,0.0018378679289176407,0.0035379570217632175,0.002083926709022639,0.007200291544112655,0.0012977376099418628,0.0020886660450432012,0.0016693549103196578,0.009095380070154535,0.00202250028992069,0.0048121735236711025,0.001033534518722819,0.0019688447707467416
Central African Republic,0.002302454344252646,0.002940937138579347,0.0030861315143157035,0.0017551506708189581,0.0017725763300207326,0.0024654796358692995,0.003279569245906791,0.006280885498407794,0.008914847982173749,0.009567450995454335,0.0040948113583885795,0.012667770892691471
Chad,0.005612281459442564,0.0037680201550316372,0.0018857831974717233,0.0026177974515744704,0.002190257849474471,0.0012638880508738046,0.008800609191536246,0.0032830924457638924,0.002191371069281616,0.00605753092549461,0.006388758007810684,0.009171716488518222
Chile,0.010485497730588461,0.0038911103018342413,0.0027076836222602735,0.004720091918216748,0.002055220143977958,0.0030689469904540273,0.004127112409132626,0.001976212628101732,0.00162312203259702,0.0032517458098376174,0.002707137598946356,0.002521150467459276
China,0.00042741464752418107,0.009714614137232347,0.0004006675315672277,0.0014570737061375266,0.0008954236471570747,0.002129968763214831,0.0020526756241030977,0.0036143140625755146,0.0012923984904963312,0.0023433816278797537,0.0012287363604225297,0.004118964049124034
Colombia,0.009559017413342641,0.0015550828991907559,0.00041726421339751156,0.0011063731393635631,0.0019098514006519948,0.0006910275210033805,0.0012045885889727468,0.0009436102417707537,0.001032410973605363,0.0030212011086504023,0.000983768954606866,0.005661228053332842
Comoros,0.007858539503032794,0.005233875477402727,0.006274517559630113,0.00524468779443079,0.002085497577658073,0.0022285054809269463,0.0033527045781697115,0.005954762639083275,0.0017576599386765757,0.0013802401628099491,0.0020380922838196067,0.004942548116699801
Congo,0.0021100094937218927,0.0031448177116652695,0.004908903203606638,0.005742061728550393,0.0022510233468740933,0.0033068167533465177,0.0016539044058687963,0.0035659084292255297,0.002013696562618683,0.0013111448429284477,0.008765171438147479,0.008805088138320122
Costa Rica,0.0018014236266213155,0.006595317494651337,0.0023014232964095535,0.005880810584776547,0.00400429829884312,0.0019744695861543538,0.0041297582509790265,0.004957878390347559,0.003755387494756658,0.0014099532454178807,0.0024025412554891795,0.006719221155603028
Croatia,0.004671685824087106,0.005692297683672062,0.0028512985959251932,0.015019821123647248,0.0020061147937195083,0.007527942935538781,0.002874515766723793,0.0014667461380605748,0.002008851862853536,0.0014968499658119562,0.001182483889119016,0.009457495935844815
Cuba,0.0005058748206229679,0.00774089432043322,0.0024138535948991825,0.0058532081048122755,0.0015328979913066115,0.0077410128791528116,0.0010430114706602295,0.001954023614687321,0.002748672866531493,0.00522708454249015,0.004976247944507704,0.001326639440232964
Cyprus,0.003994796260603145,0.004590192650929491,0.00462018435335064,0.005679388953930019,0.0034482140939093436,0.004638378023171921,0.0027304083077438167,0.004910332191398248,0.0021775893819729226,0.0043095574916516555,0.002846602541836215,0.0035157428635398877
Czechia,0.0046567429131631685,0.0046798674090380715,0.0026085626147065374,0.0018017137007546244,0.0018087278452552785,0.008507824776675249,0.005908717590756812,0.004270329766936629,0.0006945651889395986,0.0014734010330608484,0.0016901426374240462,0.0033123442318239993
Côte d'Ivoire,0.0015376882537857916,0.008465707421466753,0.0029964017446987602,0.006374473443898798,0.0010613627332598675,0.0013529633440848496,0.001398924864770064,0.0032569722183496894,0.0015898018118431102,0.0071835950858012,0.005117703944327756,0.0036393071228784726
Democratic Republic of Congo,0.0035656829661486616,0.009227355486453093,0.001956608288322328,0.0018912630873651852,0.00860739499277513,0.0020179106053781135,0.002617537865874736,0.0027162952574576044,0.00454026300354074,0.002164786926896086,0.004303524511102691,0.011290881052853335
Denmark,0.0032296179699127722,0.005990598530532125,0.0035586009242797798,0.009076572732210353,0.0031642006046887113,0.003974793802578459,0.002873462316198498,0.003373933239884639,0.0031105123762045096,0.010664535530854266,0.002806501116051248,0.007400726812695324
Djibouti,0.005048211217427351,0.003329532444804245,0.0016417366381532641,0.0049594983803677856,0.005404649740698243,0.0018911065047415559,0.003355938827900279,0.0029852442600597044,0.0022943189866263328,0.001408805418968857,0.0021405375778304862,0.01038314714813443
Dominican Republic,0.004886383124782442,0.0075547196278538675,0.00181165568870165,0.0033361532998557007,0.0015931954620199522,0.0007411936233735553,0.0008300131240877966,0.0012874353776644778,0.0025591888053935266,0.0021674154019239167,0.0072202985463108715,0.0058798098048247205
Ecuador,0.0012587180959992925,0.0064285765667890515,0.00361127683461937,0.002429949637796601,0.0027542461375790195,0.007112302350355246,0.001308363823525711,0.007137144210738328,0.002088300000273432,0.0010800879233378233,0.0012743129287159875,0.00931309476740437
Egypt,0.0030031192436463204,0.006627327246970988,0.0007947404916882105,0.006264105319919777,0.0035267755101280676,0.004791381027255293,0.0057871396541434375,0.0006083795516721993,0.0044684930352671196,0.0021248342503741822,0.002021198872447942,0.004464096934897771
El Salvador,0.005539168287221133,0.007723060682906582,0.002565530289213906,0.0023770099984860675,0.0016386681387684423,0.0013528515751275172,0.006855044242569844,0.003152705898208121,0.002644977963676482,0.0013166684390133916,0.005741176728353385,0.004596812146661321
Equatorial Guinea,0.002834898206201048,0.007241619997595858,0.005470585560710402,0.0035721085452868444,0.0009781049047277186,0.0037988960373795677,0.0011342300685438303,0.0037052624115404484,0.0024434910554345032,0.004782341709086063,0.0009013567079572422,0.008119125672065505
Eritrea,0.006211132380983073,0.00960821201449899,0.002623901221404476,0.00256321815405771,0.004733152991188427,0.0018979355349503617,0.0025206573928695623,0.0016145572672288944,0.003763345363779022,0.004009857484913296,0.0014970457892354554,0.003802509309250822
Estonia,0.0018194873682724367,0.006033900572454634,0.0017314109186778465,0.0023321390852892032,0.004715382429584122,0.003298618119905554,0.0051119015955604155,0.00413423529334004,0.0005813160565691679,0.004896505140619324,0.0013038354338575746,0.008327406977854598
Eswatini,0.002194818193625339,0.007327922429947439,0.0006892213291931773,0.004899942873273978,0.004686745789275984,0.001078777393649184,0.0032511996745455754,0.0038344989868867307,0.0032711650157855043,0.005430951621345298,0.0021986232508936186,0.004777377961726628
Ethiopia,0.0057154409789465024,0.0038023996115503084,0.0035075469931032874,0.004598099504674678,0.004861414656926251,0.0015311019159576413,0.007494852614976011,0.00465759307900325,0.0031044983653309155,0.005432238352385037,0.0027827410015943688,0.002815293611666554
Finland,0.004749406764438177,0.0021213100508926976,0.0037095452135059437,0.004205166206881494,0.003586583310651252,0.001825880922973283,0.0015310354410431118,0.010191350037915603,0.0013324017578207285,0.0027100651925394577,0.003096984773411176,0.006310673138711906
France,0.006569810044110128,0.0022629262694542976,0.002146465686138771,0.004224776248006441,0.0023223626540922852,0.002608976924500985,0.0025992380362101428,0.006228157260521797,0.0010516795767242463,0.0014985017038697292,0.002626868048045825,0.007368133671644017
Gabon,0.001453881475088594,0.003890674262236035,0.0035770183657800325,0.002430904121335148,0.005845672867313537,0.009048760000525416,0.00251917622274549,0.0015196226707538552,0.0053350407578312345,0.0045796493306234365,0.003942686890613459,0.0044053894310834285
Georgia,0.001197753543893225,0.0035217889133575125,0.005173717800114615,0.007040872553904717,0.003851737073876038,0.0025271917060932063,0.0021251613895840425,0.0025507742167883464,0.0011061100246244644,0.0032084394552954545,0.002941943427823647,0.00982394601287545
Germany,0.0032309939571640127,0.0025167358024808274,0.002399583920732515,0.010169452677537938,0.005731944677235999,0.004483215126779259,0.004081465437798505,0.0022710293976114064,0.001776167685961668,0.0026330297314318407,0.002236584311631075,0.004730764771833422
Ghana,0.0020747635862839488,0.00790284978585637,0.004410254486006494,0.002149878695477508,0.0008692110260758758,0.004887342812457576,0.003710555993055621,0.005465425388470828,0.004093466875640696,0.0024914556444558637,0.004668245161019123,0.0007871460951168977
Greece,0.003289045255142394,0.0039226705919240615,0.0031268730843271655,0.01019810333259459,0.004375209887048238,0.0014664997371969229,0.0028226636183491735,0.011766770652910624,0.001874160600604578,0.001188258730739026,0.002538221020610784,0.00545081643049404
Guatemala,0.002173059313961386,0.005456336606592338,0.007454376916327388,0.0011947578162154384,0.0009804912111574162,0.0016070677344844474,0.0024690689884312583,0.004779925912531027,0.00502409874111974,0.0009569182895874558,0.0060691261528909995,0.005170690669857238
Guinea,0.0014524563473677296,0.002774622376064139,0.000648610206267817,0.003732677086235623,0.0015726332099240455,0.005999530603443104,0.0012122730850816603,0.004799230806076062,0.004248997116099232,0.005883056845187279,0.0064351857976396865,0.007637951795786441
