pillar,sigma,rho2,eta2,pc1,L,scale_term,info_term,L_eq5,a,ST,ST_hw
Personal Freedom,19.914689393724178,0.5823171985287174,0.6763311295159637,0.7469471567198919,0.9550993133446849,0.5374165118734023,0.41768280147128256,0.7172771172251136,1.1417337496220819,0.23071431613708834,0.007321482665355122
Safety and Security,17.542084750050872,0.6866396104027719,0.7834890170173886,0.8194454507942512,0.552768884943488,0.2394084953462599,0.3133603895972281,0.45636806390096823,1.0920867166591486,0.10767870759090589,0.003631429843457122
Living Conditions,19.75237561743941,0.8000728104307544,0.8813032620534981,0.8921798328772238,0.5474629190066427,0.347535729437397,0.1999271895692456,0.24988624405522042,1.3273809630095672,0.06973865923800866,0.002445321607280622
Natural Environment,9.061072686408698,0.47870833996970186,0.5616735558871561,0.6949012659569419,0.5214155836826174,0.0001239236523192453,0.5212916600302981,1.08895462331676,0.4710061788518903,0.14182275135430183,0.005301545674110786
Education,19.67917022325101,0.8285993353929589,0.8589976609261337,0.9099382981294344,0.4942692769697659,0.32286861236272485,0.17140066460704106,0.20685590403684695,1.3458311186613507,0.08230487434843227,0.0029082003112479993
Social Capital,10.350379172947385,0.5846183229655499,0.6121350564658281,0.7728879005091819,0.41555112497172714,0.00016944793727709682,0.41538167703445006,0.710517718513122,0.594571330999351,0.09679361277820558,0.004381046582128421
Governance,17.747379638794204,0.853907233330731,0.8419985950643085,0.9211268390124476,0.313605996939063,0.167513230269794,0.14609276666926896,0.17108739798282638,1.2321145296722658,0.06487847775345872,0.00259395599061496
Health,11.166387776297096,0.714540788247235,0.7951112191857157,0.8516026043624167,0.2854998918238681,4.06800711030968e-05,0.285459211752765,0.3995002335038074,0.7091493533666154,0.057895162991008185,0.002084467739527491
Enterprise Conditions,12.876077283319928,0.7815409434816452,0.8058078591528145,0.8891250256696928,0.22540251550297247,0.006943458984617617,0.21845905651835484,0.27952349565353957,0.8552063864373768,0.06699042971333989,0.0024718812854675684
Investment Environment,16.744068476933197,0.8999388447761503,0.8941125178502324,0.9515670743227876,0.1957433014809743,0.09568214625712457,0.10006115522384973,0.11118661651807998,1.1933806280455737,0.05492852761814615,0.0017606064185314366
Economic Quality,13.427809619927624,0.8213520540170944,0.8139257702495386,0.9137463087685174,0.18916284471696165,0.010514898734056081,0.17864794598290556,0.21750471689839768,0.9142844685612066,0.07492362772628548,0.0025179947520340626
Infrastructure and Market Access,15.848948799561171,0.8898821220028963,0.8989185534839415,0.9472995396848455,0.17132003162061715,0.061202153623513444,0.11011787799710371,0.12374434239588568,1.123254576113572,0.05564478573719358,0.002110108387543771
