pillar,strength,expected_influence,n_edges,strength_unthresholded
Living Conditions,1.9923842803850569,0.92227979418012,6,2.4104610721350284
Personal Freedom,1.7474542844803405,0.7913428117089343,5,2.2998775586346154
Enterprise Conditions,1.4222927441207618,0.8747906325978987,4,1.9151901530095463
Governance,1.3188980078322776,1.3188980078322776,3,2.2382899979611595
Investment Environment,1.0039907658136924,1.0039907658136924,3,1.4443444980432156
Infrastructure and Market Access,0.9994987417200378,0.9994987417200378,3,1.9731004505026457
Natural Environment,0.6890947746409669,0.16649239995889298,2,1.5143253418859974
Health,0.5912831251043101,0.10506849394736328,2,1.3898049693528625
Education,0.4746609887022365,0.4746609887022365,1,1.3785137116832404
Economic Quality,0.4567696097040377,-0.013127231910421616,2,1.4209294629307676
Social Capital,0.22182118889680802,0.22182118889680802,1,1.0286235413361935
Safety and Security,0.0,0.0,0,0.8343824742585968
