pillar,c,rho2,rank_leverage,L,rank_neutral,ST_native_weights_only,ST_native_weights_only_hw,ST_joint_design
Safety and Security,1.317931074928346,0.6866396104027719,0.5442889215584257,0.552768884943488,0.008479963385062314,0.15294355325401038,0.005017633637256019,0.10767870759090589
Personal Freedom,1.4961840837907776,0.5823171985287174,0.9350108575627499,0.9550993133446849,0.020088455781934987,0.28157530271224224,0.008230045628753652,0.23071431613708834
Governance,1.333354812600005,0.853907233330731,0.2597288420540858,0.313605996939063,0.053877154884977144,0.07564182281994786,0.003041584009247804,0.06487847775345872
Social Capital,0.777620593201099,0.5846183229655499,0.2511787193240893,0.41555112497172714,0.1643724056476378,0.07798992056443775,0.003162235466314521,0.09679361277820558
Investment Environment,1.2579763740118977,0.8999388447761503,0.1583472341776737,0.1957433014809743,0.03739606730330051,0.060704509134504314,0.002355538449787444,0.05492852761814615
Enterprise Conditions,0.9673754640147362,0.7815409434816452,0.2044373249744502,0.22540251550297247,0.020965190528522266,0.06613920595998386,0.0023554229886929845,0.06699042971333989
Infrastructure and Market Access,1.1907263261756502,0.8898821220028963,0.15612834108768087,0.17132003162061715,0.015191690532936297,0.05991421491368871,0.0022949292746801443,0.05564478573719358
Economic Quality,1.0088269335418116,0.8213520540170944,0.18181569238712686,0.18916284471696165,0.00734715232983478,0.06679305408251351,0.0023755282512324394,0.07492362772628548
Living Conditions,1.483989503003905,0.8000728104307544,0.44028462406557106,0.5474629190066427,0.10717829494107162,0.11153576235345275,0.0036662399133935014,0.06973865923800866
Health,0.8389270519878943,0.714540788247235,0.2009057931768102,0.2854998918238681,0.08459409864705793,0.05763294634330314,0.002449684855928457,0.057895162991008185
Education,1.4784896057438035,0.8285993353929589,0.3746701143352046,0.4942692769697659,0.11959916263456126,0.11599456007007668,0.004017558541035922,0.08230487434843227
Natural Environment,0.6807554196526077,0.47870833996970186,0.2415811208697391,0.5214155836826174,0.2798344628128784,0.08270632175378281,0.003440965312825818,0.14182275135430183
