area_code,area_name,region,off_score,off_rank,rank_median,rank_p5,rank_p95,rank_iqr,rank_range_90,fragile
DNK,Denmark,Western Europe,84.5523282178,1,1.0,1.0,3.0,1.0,2.0,False
SWE,Sweden,Western Europe,83.6708089497,2,3.0,1.0,6.0,2.0,5.0,False
NOR,Norway,Western Europe,83.5934363043,3,4.0,2.0,6.0,3.0,4.0,False
FIN,Finland,Western Europe,83.4705927972,4,4.0,2.0,7.0,2.0,5.0,False
CHE,Switzerland,Western Europe,83.4235684844,5,4.0,1.0,7.0,3.0,6.0,False
NLD,Netherlands,Western Europe,82.3177821762,6,6.0,4.0,9.0,2.0,5.0,False
LUX,Luxembourg,Western Europe,81.8275507143,7,7.0,4.0,12.0,2.0,8.0,False
ISL,Iceland,Western Europe,81.0187606011,8,9.0,6.0,14.0,2.0,8.0,False
DEU,Germany,Western Europe,80.8088220649,9,9.0,7.0,14.0,3.0,7.0,False
NZL,New Zealand,East Asia and Pacific,80.4719855562,10,11.0,6.0,17.0,5.0,11.0,False
IRL,Ireland,Western Europe,80.314396116,11,11.0,8.0,16.0,3.0,8.0,False
GBR,United Kingdom,Western Europe,79.9490767762,12,13.0,10.0,15.0,3.0,5.0,False
CAN,Canada,North America,79.6241145153,13,14.0,10.0,18.0,3.0,8.0,False
AUT,Austria,Western Europe,79.383043057,14,15.0,11.0,18.0,3.0,7.0,False
AUS,Australia,East Asia and Pacific,79.3613061292,15,15.0,9.0,20.0,4.0,11.0,False
JPN,Japan,East Asia and Pacific,78.2230089973,16,17.0,9.0,27.0,7.0,18.0,False
SGP,Singapore,East Asia and Pacific,78.2133753899,17,16.0,5.0,33.0,12.0,28.0,False
BEL,Belgium,Western Europe,77.8447868146,18,19.0,16.0,23.0,3.0,7.0,False
USA,United States,North America,77.4394278196,19,20.0,13.0,29.0,6.0,16.0,False
TWN,"Taiwan, China",East Asia and Pacific,77.3608565928,20,20.0,14.0,26.0,4.0,12.0,False
EST,Estonia,Eastern Europe,77.3103922596,21,20.0,16.0,24.0,4.0,8.0,False
HKG,Hong Kong,East Asia and Pacific,76.9043939613,22,20.0,10.0,34.0,8.0,24.0,False
FRA,France,Western Europe,76.7276554934,23,22.0,19.0,25.0,3.0,6.0,False
ESP,Spain,Western Europe,76.0335919683,24,23.0,18.0,28.0,4.0,10.0,False
CZE,Czechia,Eastern Europe,75.0777865006,25,25.0,21.0,29.0,3.0,8.0,False
PRT,Portugal,Western Europe,74.6373865947,26,27.0,22.0,30.0,4.0,8.0,False
SVN,Slovenia,Eastern Europe,74.5447796354,27,27.0,21.0,31.0,4.0,10.0,False
MLT,Malta,Western Europe,74.3620238374,28,27.0,21.0,33.0,5.0,12.0,False
KOR,South Korea,East Asia and Pacific,74.0657175754,29,28.0,22.0,34.0,4.0,12.0,False
ITA,Italy,Western Europe,73.0305730676,30,30.0,27.0,34.0,3.0,7.0,False
LVA,Latvia,Eastern Europe,72.989503437,31,31.0,25.0,35.0,4.0,10.0,False
LTU,Lithuania,Eastern Europe,72.5431207688,32,32.0,27.0,39.0,4.0,12.0,False
ISR,Israel,Middle East and North Africa,72.2498620702,33,32.0,24.0,43.0,8.0,19.0,False
CYP,Cyprus,Western Europe,71.8248882005,34,34.0,32.0,36.0,1.0,4.0,False
SVK,Slovakia,Eastern Europe,71.1489068094,35,35.0,31.0,39.0,4.0,8.0,False
CHL,Chile,Latin America and the Caribbean,70.17829445,36,37.0,34.0,42.0,3.0,8.0,False
POL,Poland,Eastern Europe,70.1546234936,37,37.0,33.0,40.0,4.0,7.0,False
URY,Uruguay,Latin America and the Caribbean,69.6876809751,38,38.0,31.0,45.0,5.0,14.0,False
CRI,Costa Rica,Latin America and the Caribbean,69.5919390254,39,39.0,32.0,45.0,5.0,13.0,False
GRC,Greece,Western Europe,68.483520926,40,40.0,36.0,47.0,4.0,11.0,False
HRV,Croatia,Eastern Europe,68.239649974,41,41.0,37.0,46.0,4.0,9.0,False
HUN,Hungary,Eastern Europe,66.8788700776,42,43.0,38.0,50.0,4.0,12.0,False
MYS,Malaysia,East Asia and Pacific,66.8377094086,43,44.0,38.0,53.0,6.0,15.0,False
ARE,United Arab Emirates,Middle East and North Africa,66.6882599731,44,43.0,35.0,65.0,9.0,30.0,False
ROU,Romania,Eastern Europe,66.4024854848,45,45.0,41.0,51.0,4.0,10.0,False
QAT,Qatar,Middle East and North Africa,66.243000506,46,44.0,35.0,69.0,8.0,34.0,False
MUS,Mauritius,Sub-Saharan Africa,65.6457033584,47,47.0,42.0,53.0,5.0,11.0,False
BGR,Bulgaria,Eastern Europe,65.5509573965,48,47.0,44.0,50.0,3.0,6.0,False
