pillar,rho2,eta2_B5,eta2_B10,eta2_B20,eta2_loo,share,S1,ST
Infrastructure and Market Access,0.8898821220028963,0.8676428608131157,0.8989185534839415,0.9154366592530413,0.8791277002257769,0.095388076270109,0.031995938788091836,0.05564478573719358
Investment Environment,0.8999388447761503,0.8645920491163136,0.8941125178502324,0.9161542309669162,0.8733540801929945,0.09487808735975853,0.0340128374437274,0.05492852761814615
Living Conditions,0.8000728104307544,0.8560529577780966,0.8813032620534981,0.8986915081712528,0.8542992000505906,0.09351884267160887,0.0454809412442368,0.06973865923800866
Education,0.8285993353929589,0.8161426557667927,0.8589976609261337,0.8734276827019926,0.8249711163741543,0.09115190033479607,0.05567861265888592,0.08230487434843227
Governance,0.853907233330731,0.8134643297264931,0.8419985950643085,0.8638063660348045,0.8087641376079517,0.08934805705593181,0.044485096158185446,0.06487847775345872
Economic Quality,0.8213520540170944,0.7928865822808594,0.8139257702495386,0.8297768963727424,0.785183662837178,0.08636913005062051,0.0516043067068613,0.07492362772628548
Enterprise Conditions,0.7815409434816452,0.7794146715148812,0.8058078591528145,0.8317124585279043,0.7761249582652651,0.08550770392936946,0.04601202532853587,0.06699042971333989
Health,0.714540788247235,0.7806513730258292,0.7951112191857157,0.8138667030877286,0.7712433846777934,0.0843726379046879,0.03730821083698611,0.057895162991008185
Safety and Security,0.6866396104027719,0.7080083298597374,0.7834890170173886,0.798361408034559,0.743779066423057,0.08313935653279683,0.08137460866778713,0.10767870759090589
Personal Freedom,0.5823171985287174,0.6400889011981808,0.6763311295159637,0.707370910255973,0.6094910927576279,0.07176837669673287,0.19096669216390258,0.23071431613708834
Social Capital,0.5846183229655499,0.5160057690752101,0.6121350564658281,0.6524915878636315,0.5748275544185905,0.06495625796960815,0.07177255483914928,0.09679361277820558
Natural Environment,0.47870833996970186,0.5042307443726355,0.5616735558871561,0.5700754934253014,0.5266361699111062,0.05960157322398007,0.10702938559774165,0.14182275135430183
