input,S1,S1_hw,ST,ST_hw,S1_N1024,ST_N1024,S1_hw_N1024,ST_hw_N1024
Personal Freedom,0.19096669216390258,0.00892766498941934,0.23071431613708834,0.007321482665355122,0.19573775640264748,0.22931823721532682,0.025328795359739906,0.022162179989242456
Natural Environment,0.10702938559774165,0.0057519135639109015,0.14182275135430183,0.005301545674110786,0.11102597368562059,0.1488300996548222,0.017781503071418188,0.01719048523187995
Safety and Security,0.08137460866778713,0.0038966846351711354,0.10767870759090589,0.003631429843457122,0.07946262414325515,0.10716079838713387,0.011512181642135383,0.011240519103272333
Social Capital,0.07177255483914928,0.004171035403724849,0.09679361277820558,0.004381046582128421,0.07132028450353786,0.09562131703665182,0.011451171241036732,0.010160416760642117
Aggregation selector,0.04673546517854782,0.0028457269040912704,0.08574841264394169,0.0026376702715612196,0.046125796238421994,0.08561979405874619,0.0074096411316514205,0.006852143095162466
Education,0.05567861265888592,0.0036235755367048303,0.08230487434843227,0.0029082003112479993,0.0606212327371708,0.0837506937341415,0.011380961077501698,0.007802189460092028
Economic Quality,0.0516043067068613,0.0033051082421779315,0.07492362772628548,0.0025179947520340626,0.05463981281845751,0.07592304847399854,0.008524980974615452,0.008221784948398543
Living Conditions,0.0454809412442368,0.0035359751670766236,0.06973865923800866,0.002445321607280622,0.0424561560588838,0.06746288574723343,0.009464102590438013,0.0063371956455347545
Enterprise Conditions,0.04601202532853587,0.0029778183738855893,0.06699042971333989,0.0024718812854675684,0.04733302135855895,0.06553409791691642,0.007929019187482296,0.006725708025703849
Normalization selector,0.022914500465960327,0.0025385887395156168,0.06682274839985923,0.0017083495403757629,0.023155510706906156,0.06804445235081885,0.0057411978711075,0.0045772119633024355
Governance,0.044485096158185446,0.0030271371001165184,0.06487847775345872,0.00259395599061496,0.04479033862108654,0.06376674468754145,0.009671198846822132,0.006564138379159867
Health,0.03730821083698611,0.0032102459073318004,0.057895162991008185,0.002084467739527491,0.03778775782626301,0.058072541179503695,0.007938613385979915,0.006753896706339753
Infrastructure and Market Access,0.031995938788091836,0.0023001657714398355,0.05564478573719358,0.002110108387543771,0.034497972580493336,0.056370287535374555,0.008579384234121629,0.006123113432079618
Investment Environment,0.0340128374437274,0.0023260802408389784,0.05492852761814615,0.0017606064185314366,0.035414198421528674,0.054507990967897664,0.008392589436037823,0.005956535670136737
